id,date,category,text
MSG-0481,2021-03-14,threat of exposure,"Maria reported a message she received. The sender @coldwolf99 wrote: “you’ll regret ignoring me — everyone will see what you really are.” Her friend Tomás saw it too."
MSG-1207,2022-07-09,persistent contact,"Aisha reported that @nightcaller keeps messaging from new accounts: “I know you walk past the Lyric Café every Thursday.” She had blocked him five times."
MSG-3398,2023-11-02,image-based coercion,"Priya reported a message: “send another photo or I’ll post the ones I already have.” @__real_max_ was his third account."
MSG-0592,2019-05-21,harassment,"Noah reported that @grimsignal sent him dozens of messages overnight calling him a coward and saying he should watch his back walking home."
MSG-0733,2019-09-03,doxxing threat,"Sofia reported that someone posted her home address in a group chat and wrote “let’s see how brave she is now.”"
MSG-0810,2020-01-17,persistent contact,"Liam reported that @ash_returns made a new account again after being blocked and wrote “you can’t get rid of me that easily.”"
MSG-0997,2020-04-28,image-based coercion,"Emma reported that the sender threatened to share private photos unless she sent money to an account he linked."
MSG-1044,2020-08-12,threat of exposure,"Daniel reported that @nightpost said he would tell Daniel’s employer “everything” unless he stopped posting about the incident."
MSG-1188,2021-02-05,stalking,"Yara reported that a man described the café where she works and the time her shift ends, then wrote “maybe I’ll stop by.”"
MSG-1301,2021-06-19,harassment,"Marcus reported repeated slurs from @void_caller across three accounts, each calling him names tied to his background."
MSG-1422,2021-10-30,hate-motivated,"Amira reported a message reading “people like you don’t belong here” sent after she posted in a community forum."
MSG-1555,2022-01-14,doxxing threat,"Tomás reported that @leakbox claimed to have his phone number and workplace and threatened to make it public."
MSG-1607,2022-05-09,persistent contact,"Hana reported that the same person messaged her from five different handles in one week despite being blocked each time."
MSG-1733,2022-09-22,image-based coercion,"Ivan reported that an account demanded another photo and threatened to post the ones it already had to his family."
MSG-1841,2023-01-08,threat of violence,"Grace reported that @darkwire wrote “I know which bus you take” and described her route home in detail."
MSG-1902,2023-04-17,harassment,"Felix reported that a group coordinated to flood his inbox with insults after he reported an earlier message."
MSG-2014,2023-08-26,stalking,"Lena reported that someone listed the gym she goes to, the days she attends, and asked “what time again?”"
MSG-2156,2024-02-11,doxxing threat,"Omar reported that @pastethis threatened to publish his student ID and address unless he deleted a post."
MSG-2233,2024-07-03,persistent contact,"Clara reported that an ex-contact kept creating accounts to message her, the latest saying “block me again, I’ll just come back.”"
MSG-2390,2025-03-19,image-based coercion,"Priyanka reported that the sender threatened to circulate edited images of her unless she replied within an hour."
